date,flow
2020-04-09 17:22:44.317377,20549.684
2020-04-09 17:22:44.348388,19981.412
2020-04-09 17:22:44.376272,17390.377
2020-04-09 17:22:44.408184,22687.14
2020-04-09 17:22:44.437555,22892.713
2020-04-09 17:22:44.466702,16714.057
2020-04-09 17:22:44.508528,11699.637
2020-04-09 17:22:44.546437,8159.0225
2020-04-09 17:22:44.577483,11811.56
2020-04-09 17:22:44.604693,18767.746
2020-04-09 17:22:44.637273,22423.297
2020-04-09 17:22:44.668359,17616.232
2020-04-09 17:22:44.696308,19831.318
2020-04-09 17:22:44.726761,19650.17
2020-04-09 17:22:44.756392,31049.719
2020-04-09 17:22:44.787416,21867.332
2020-04-09 17:22:44.818071,23335.744
2020-04-09 17:22:44.847116,16642.191
2020-04-09 17:22:44.877038,18983.422
2020-04-09 17:22:44.910493,21398.988
2020-04-09 17:22:44.939778,23260.863
2020-04-09 17:22:44.970380,23314.9
2020-04-09 17:22:45.008266,22681.209
2020-04-09 17:22:45.039333,22671.43
2020-04-09 17:22:45.068141,19779.31
2020-04-09 17:22:45.103485,22587.777
2020-04-09 17:22:45.130663,25533.64
2020-04-09 17:22:45.155304,21792.467
2020-04-09 17:22:45.185933,31612.625
2020-04-09 17:22:45.216018,21298.4
2020-04-09 17:22:45.245392,18127.418
2020-04-09 17:22:45.276251,18286.53
2020-04-09 17:22:45.305506,18675.648
2020-04-09 17:22:45.337104,12972.064
2020-04-09 17:22:45.365435,7116.6074
2020-04-09 17:22:45.396404,7656.626
2020-04-09 17:22:45.425642,5605.7163
2020-04-09 17:22:45.450094,6027.3
2020-04-09 17:22:45.477979,5810.071
2020-04-09 17:22:45.504022,6630.73
2020-04-09 17:22:45.531677,7085.714
2020-04-09 17:22:45.562278,6089.751
2020-04-09 17:22:45.592430,4242.404
2020-04-09 17:22:45.623899,3776.799
2020-04-09 17:22:45.653410,10801.213
2020-04-09 17:22:45.683003,6869.633
2020-04-09 17:22:45.713194,10027.054
2020-04-09 17:22:45.743184,11443.364
2020-04-09 17:22:45.775115,10476.0205
2020-04-09 17:22:45.806273,7802.9414
2020-04-09 17:22:45.835194,5641.349
2020-04-09 17:22:45.864970,5850.782
2020-04-09 17:22:45.894591,7051.4985
2020-04-09 17:22:45.921875,3907.6282
2020-04-09 17:22:45.954897,3381.1921
2020-04-09 17:22:45.985218,3957.8542
2020-04-09 17:22:46.015971,2855.2917
2020-04-09 17:22:46.044753,3358.6455
2020-04-09 17:22:46.076817,2513.9373
2020-04-09 17:22:46.106799,3356.0022
2020-04-09 17:22:46.135395,3759.3286
2020-04-09 17:22:46.164214,5138.9937
2020-04-09 17:22:46.194783,4932.2217
2020-04-09 17:22:46.227263,4205.984
2020-04-09 17:22:46.255187,3500.8943
2020-04-09 17:22:46.286040,4149.3906
2020-04-09 17:22:46.314545,7139.6367
2020-04-09 17:22:46.338535,8805.518
2020-04-09 17:22:46.369563,8284.8955
2020-04-09 17:22:46.394351,7290.409
2020-04-09 17:22:46.420591,5820.79
2020-04-09 17:22:46.450679,6254.87
2020-04-09 17:22:46.481090,5386.3496
2020-04-09 17:22:46.511609,6680.211
2020-04-09 17:22:46.540714,3040.5251
2020-04-09 17:22:46.571641,3922.9744
2020-04-09 17:22:46.602581,5960.0337
2020-04-09 17:22:46.631423,6713.9614
2020-04-09 17:22:46.661418,9193.129
2020-04-09 17:22:46.687076,11958.795
2020-04-09 17:22:46.712415,10879.135
2020-04-09 17:22:46.739632,14016.091
2020-04-09 17:22:46.766865,14572.056
2020-04-09 17:22:46.796078,16127.506
2020-04-09 17:22:46.826457,15351.154
2020-04-09 17:22:46.853878,19508.514
2020-04-09 17:22:46.879745,15003.422
2020-04-09 17:22:46.907338,8865.15
2020-04-09 17:22:46.934537,5352.838
2020-04-09 17:22:46.964643,6976.9004
2020-04-09 17:22:46.994750,3512.3982
2020-04-09 17:22:47.020532,5469.703
2020-04-09 17:22:47.044431,4378.257
2020-04-09 17:22:47.069104,4601.51
2020-04-09 17:22:47.099631,5150.0557
2020-04-09 17:22:47.128871,7401.9443
2020-04-09 17:22:47.159876,9332.672
2020-04-09 17:22:47.189004,4628.7876
2020-04-09 17:22:47.219481,3594.3123
2020-04-09 17:22:47.249275,3305.391
2020-04-09 17:22:47.279741,2745.7412
2020-04-09 17:22:47.310569,2054.2505
2020-04-09 17:22:47.336623,2601.777
2020-04-09 17:22:47.362108,2391.917
2020-04-09 17:22:47.387678,2177.3408
2020-04-09 17:22:47.418802,3014.3914
2020-04-09 17:22:47.450023,2710.3376
2020-04-09 17:22:47.479782,2202.0642
2020-04-09 17:22:47.503812,2756.965
2020-04-09 17:22:47.535449,4306.9346
2020-04-09 17:22:47.567453,8144.2866
2020-04-09 17:22:47.597466,7715.2812
2020-04-09 17:22:47.627198,7138.512
2020-04-09 17:22:47.654572,4043.0215
2020-04-09 17:22:47.680112,9234.446
2020-04-09 17:22:47.707905,12523.341
2020-04-09 17:22:47.732778,15562.02
2020-04-09 17:22:47.765237,12578.269
2020-04-09 17:22:47.795300,8693.271
2020-04-09 17:22:47.825538,5820.5547
2020-04-09 17:22:47.853111,5490.106
2020-04-09 17:22:47.882665,7918.431
2020-04-09 17:22:47.907838,7157.6104
2020-04-09 17:22:47.952706,8243.386
2020-04-09 17:22:47.989040,6143.6465
2020-04-09 17:22:48.019264,2373.8257
2020-04-09 17:22:48.048734,2959.7905
2020-04-09 17:22:48.080400,3066.1345
2020-04-09 17:22:48.120430,4072.0022
2020-04-09 17:22:48.151911,3907.9543
2020-04-09 17:22:48.177401,4014.9714
2020-04-09 17:22:48.202467,2480.1934
2020-04-09 17:22:48.233653,3370.615
2020-04-09 17:22:48.263892,2630.4211
2020-04-09 17:22:48.293830,2408.0156
2020-04-09 17:22:48.324307,2856.1208
2020-04-09 17:22:48.354287,3531.5288
2020-04-09 17:22:48.385295,4758.4155
2020-04-09 17:22:48.415526,5249.1616
2020-04-09 17:22:48.444489,6080.0356
2020-04-09 17:22:48.476680,4987.3613
2020-04-09 17:22:48.505418,5276.2017
2020-04-09 17:22:48.537470,6755.606
2020-04-09 17:22:48.565987,6477.3726
2020-04-09 17:22:48.595294,6235.217
2020-04-09 17:22:48.619559,7965.8823
2020-04-09 17:22:48.644608,8725.192
2020-04-09 17:22:48.669062,8801.465
2020-04-09 17:22:48.693547,8836.067
2020-04-09 17:22:48.718796,9804.207
2020-04-09 17:22:48.747811,12289.922
2020-04-09 17:22:48.777631,6961.157
2020-04-09 17:22:48.803566,6056.6304
2020-04-09 17:22:48.828235,4985.005
2020-04-09 17:22:48.853152,5787.7075
2020-04-09 17:22:48.883205,7066.633
2020-04-09 17:22:48.913431,6907.297
2020-04-09 17:22:48.943644,6508.5845
2020-04-09 17:22:48.971113,6891.285
2020-04-09 17:22:48.996185,6645.797
2020-04-09 17:22:49.023213,8499.135
2020-04-09 17:22:49.049077,7811.7993
2020-04-09 17:22:49.078784,7977.075
2020-04-09 17:22:49.108769,4824.1357
2020-04-09 17:22:49.139193,3780.152
2020-04-09 17:22:49.169360,6459.8945
2020-04-09 17:22:49.200098,4850.221
2020-04-09 17:22:49.230577,2937.3777
2020-04-09 17:22:49.261610,2455.9673
2020-04-09 17:22:49.286991,1579.4368
2020-04-09 17:22:49.313254,1973.9706
2020-04-09 17:22:49.338510,1549.6915
2020-04-09 17:22:49.365716,2184.7202
2020-04-09 17:22:49.396542,2504.665
2020-04-09 17:22:49.427298,1758.9176
2020-04-09 17:22:49.456440,1464.2964
2020-04-09 17:22:49.486142,1534.5293
2020-04-09 17:22:49.516165,1233.2948
2020-04-09 17:22:49.545222,1598.9844
2020-04-09 17:22:49.575778,1430.3679
2020-04-09 17:22:49.606500,1701.4688
2020-04-09 17:22:49.636023,1675.8496
2020-04-09 17:22:49.667216,1399.4355
2020-04-09 17:22:49.697854,4482.968
2020-04-09 17:22:49.726538,5851.4834
2020-04-09 17:22:49.753813,6661.78
2020-04-09 17:22:49.778708,5306.904
2020-04-09 17:22:49.804030,3600.5918
2020-04-09 17:22:49.832893,4348.217
2020-04-09 17:22:49.862282,6065.672
2020-04-09 17:22:49.893500,8275.574
2020-04-09 17:22:49.919982,11508.03
